frequency_Hz,Re,Im
5,0.309383893875,-0.00895566536971
5.34683726602,0.309262489898,-0.00969682001672
5.71773374987,0.309139625805,-0.0104604597514
6.1143583782,0.30901697695,-0.0112530893972
6.53849584687,0.308890593066,-0.0121052272002
6.99205465156,0.308760072716,-0.0129940602607
7.4770756754,0.308624968533,-0.0139384663695
7.99574137242,0.308482571554,-0.0148890729242
8.55038558791,0.308320538677,-0.0160621306502
9.14350406006,0.308153164537,-0.0172078348997
9.77776565007,0.307967987748,-0.0184469213946
10.4560243512,0.307765992737,-0.0197570176227
11.1813321311,0.307543201575,-0.0211466922004
11.9569526645,0.307292499365,-0.022675871542
12.7863760189,0.307019031405,-0.0242279499536
13.6733343591,0.306709886937,-0.0259208236654
14.6218187404,0.306362790072,-0.02772702433
15.6360970676,0.30597357465,-0.0296346081425
16.7207332993,0.305534315182,-0.0316709638032
17.8806079839,0.305037702474,-0.0338424214839
19.1209402215,0.304472672607,-0.0361803172619
20.4473111476,0.303844086213,-0.0385770385488
21.8656890468,0.303118681799,-0.0412249510748
23.3824562085,0.302307919052,-0.0439556265633
25.0044376453,0.301384371595,-0.0468835743333
26.7389318036,0.300338187926,-0.0499827256083
28.5937434042,0.299155622553,-0.0532469071417
30.5772185618,0.297814627518,-0.0567067152785
32.6982823395,0.296300198511,-0.0603417838948
34.9664789095,0.294588759461,-0.0641669745134
37.392014499,0.292660613139,-0.068167436119
39.985803315,0.290491126352,-0.0723422347723
42.7595166553,0.288101592676,-0.0765088951466
45.7256354259,0.285293824749,-0.0812908612393
48.8975063016,0.28221883807,-0.0860009621756
52.2894017818,0.278787149453,-0.0908452299242
55.916584413,0.274963843533,-0.0958152769552
59.7953754656,0.270721383441,-0.100875170741
63.943228375,0.266029345721,-0.105995534242
68.3788072771,0.260861621619,-0.111135299001
73.1220709911,0.255197922116,-0.116242584315
78.1943628288,0.249014529252,-0.121278210234
83.6185066331,0.242305247846,-0.126172991315
89.418909479,0.235067342844,-0.130863903848
95.6216714979,0.227305762321,-0.135287413173
102.254703321,0.219042862863,-0.139367076967
109.347851668,0.210304233435,-0.143041033953
116.933033652,0.201141738056,-0.146229049198
125.044380392,0.191601188172,-0.148883063639
133.718390597,0.181751761064,-0.150945326042
142.9940948,0.171677728047,-0.152363657966
152.913230979,0.161449381622,-0.153123679739
163.520432373,0.151180753936,-0.153183110251
174.863428314,0.140939026229,-0.152566202336
186.993258995,0.130825617316,-0.151275584041
199.964505138,0.120944782805,-0.149325129058
213.83553359,0.111261459955,-0.146845356632
228.66875996,0.102094366121,-0.143697691739
244.530929466,0.0933033052133,-0.140096124489
261.493417273,0.0849080479771,-0.136117157675
279.632549659,0.0770552901232,-0.131755475645
299.029947462,0.0697163051759,-0.127113423303
319.772893349,0.0629084390861,-0.122254717441
341.954724565,0.0566297889909,-0.117245022861
365.675252919,0.0508112789521,-0.112171489259
391.041213914,0.0456148927758,-0.10700742992
418.166747021,0.0408355156788,-0.101883467202
447.173909277,0.0365093264138,-0.0968125712337
478.193224503,0.0326184822366,-0.0918255498327
511.364270626,0.0292543194418,-0.0869115131003
546.836307739,0.0259869744595,-0.0822250254156
584.768949727,0.0231899738376,-0.0776502811536
625.332882482,0.020697850198,-0.0732451973081
668.710631945,0.0184791419851,-0.0690196009394
715.097385414,0.0165160548571,-0.0649766495764
764.701869833,0.0147750952533,-0.0611212891977
817.747291005,0.0132358704838,-0.0574530591004
874.472337946,0.0118762964678,-0.0539704647066
935.132256928,0.0106770897257,-0.0506702234113
1000,0.0093114899536,-0.0476031793608